FID,COMTY_NAME,CERT,Shape_Leng,Shape_Area,location,cases,case_rate,deaths,death_rate,Date,Shape__Area,Shape__Length
33,ATWATER VILLAGE, ,56592.345854,59804672.252,ATWATER VILLAGE,52,354.56,2,13.64,2020/06/03,8127629.0078125,20878.7015658792
34,HOLLYWOOD HILLS, ,77904.6982152,240652764.106,HOLLYWOOD HILLS,85,288.78,5,16.99,2020/06/03,32707741.9726563,28724.0230525776
35,EAGLE ROCK,yes,61429.2831318,129458088.776,EAGLE ROCK,184,464.78,15,37.89,2020/06/03,17599468.125,22646.0639905595
36,GLASSELL PARK,yes,49989.0443981,86073582.4413,GLASSELL PARK,189,598.03,5,15.82,2020/06/03,11696674.0742188,18425.9234046478
37,BEVERLY CREST,yes,112251.492704,237216906.927,BEVERLY CREST,37,295.41,2,15.97,2020/06/03,32231968.4609375,41379.5865175826
38,PACIFIC PALISADES,yes,139755.642029,433120276.643,PACIFIC PALISADES,57,267.72,3,14.09,2020/06/03,58793777.5078125,51517.7643305691
39,BRENTWOOD,yes,98768.6213114,251510714.06,BRENTWOOD,82,264.9,2,6.46,2020/06/03,34151235.125,36428.0157038704
40,BEL AIR,yes,78225.3502753,189562831.31,BEL AIR,36,427.1,0,0,2020/06/03,25748310.1914063,28844.333711692
41,PALISADES HIGHLANDS, ,77130.1472161,211544860.143,PALISADES HIGHLANDS,4,104,0,0,2020/06/03,28729225.1171875,28437.8797149137
42,MANDEVILLE CANYON, ,75458.4378693,164135345.506,MANDEVILLE CANYON,2,64.02,0,0,2020/06/03,22292330.328125,27839.1152918279
43,HIGHLAND PARK,yes,60026.2644326,81637141.3566,HIGHLAND PARK,212,438.1,1,2.07,2020/06/03,11092208.140625,22134.7189340382
44,HOLLYWOOD,yes,79825.8010653,121806059.967,HOLLYWOOD,285,417.56,6,8.79,2020/06/03,16545381.8242188,29400.1352935727
45,MT. WASHINGTON,yes,42965.6426011,65523928.9661,MT. WASHINGTON,109,451.44,3,12.42,2020/06/03,8900261.84375,15838.318115891
46,SILVERLAKE, ,66382.7373582,106574030.533,SILVERLAKE,193,437.81,12,27.22,2020/06/03,14474850.21875,24466.996136861
47,ELYSIAN VALLEY, ,41584.3559231,35595339.6638,ELYSIAN VALLEY,63,619.41,0,0,2020/06/03,4834150.1796875,15328.8225743818
48,THAI TOWN, ,10625.6825239,6169146.6207,THAI TOWN,32,326.23,0,0,2020/06/03,838016.33203125,3916.39693610216
49,LINCOLN HEIGHTS,yes,59940.4516926,89781645.9125,LINCOLN HEIGHTS,293,898.86,19,58.29,2020/06/03,12189906.0976563,22096.7940712671
50,EL SERENO,yes,55189.3437351,107169905.159,EL SERENO,186,444.89,15,35.88,2020/06/03,14550834.0625,20343.4116924127
51,EAST HOLLYWOOD, ,22836.2130292,30599981.4818,EAST HOLLYWOOD,230,785.33,37,126.34,2020/06/03,4155734.10546875,8416.24889545088
